Name,Area,Date
北朝鮮,東アジア,2026/??/??
台湾,東アジア,2026/??/??
日本,東アジア,2026/06/07
韓国,東アジア,2026/06/07
中国,東アジア,2026/06/07
イギリス,ヨーロッパ,2026/06/09
アメリカ,北米,2026/06/09
カナダ,北米,2026/06/13
オーストラリア,オセアニア,2026/06/13
インド,東南アジア・南アジア,2026/06/14
ロシア,ヨーロッパ,2026/06/14
フィリピン,東南アジア・南アジア,2026/06/17
ベトナム,東南アジア・南アジア,2026/06/17
ドイツ,ヨーロッパ,2026/06/21
ポーランド,ヨーロッパ,2026/06/21
オランダ,ヨーロッパ,2026/06/25
インドネシア,東南アジア・南アジア,2026/06/25
フランス,ヨーロッパ,2026/06/29
イタリア,ヨーロッパ,2026/06/29
パラオ,オセアニア,2026/07/03
ブラジル,中南米,2026/07/03
シンガポール,東南アジア・南アジア,2026/07/10
タイ,東南アジア・南アジア,2026/07/10
モンゴル,東アジア,2026/07/18
トルコ,中東,2026/07/18
UAE,中東,2026/07/28
メキシコ,中南米,2026/07/28
江戸幕府,東アジア,2026/08/07
イングランド,ヨーロッパ,2026/08/21
スコットランド,ヨーロッパ,2026/08/21
イングランド,ヨーロッパ,2026/08/21
